 MONTHLY SUMMARY
MO   YEAR  O-PPT  N-PPT  INLOS    P-ET   A-ET   SMELT   GW-FL   RS-FL    SRO SIMRO[mm] OBSRO[mm] ERR*100
    5 1988  80.14  64.43 14.90   29.09  10.41   52.13    23.66  14.95   0.74    39.35  861.58  -95.43
    6 1988 144.39 108.94 36.97   54.51  14.20   88.01    30.06  25.56  64.03   119.65 1386.63  -91.37
    7 1988  28.39  10.31 19.25   76.92  49.49    0.00    32.66   0.25   1.95    34.86 2004.12  -98.26
    8 1988  79.70  60.21 18.72   45.26  19.37   24.36    24.72   1.44  13.19    39.36 2584.75  -98.48
    9 1988  61.66  52.50  6.83   19.59  11.09   18.83    19.69   0.12   2.65    22.46 3054.21  -99.26
   10 1988  42.19  42.57  0.10    6.33   5.51    8.36    15.09   0.00   0.08    15.18  299.68  -94.94
   11 1988  68.57  64.69  3.49    9.39   4.83   61.22    14.99  19.35   4.97    39.31  842.85  -95.34
   12 1988 103.39  95.24  9.47   14.24   3.74   69.41    29.54  22.11  45.04    96.68 1442.22  -93.30
    1 1989  31.34  22.24  9.65   22.07  11.82    0.00    28.97   1.19   4.63    34.79 2022.85  -98.28
    2 1989  35.68  28.59  4.98   17.14  11.19   10.61    21.10   0.68   4.54    26.32 2326.15  -98.87
    3 1989  44.10  44.20  1.63   11.58   8.74   26.43    21.36   4.04   0.51    25.92 3127.92  -99.17
    4 1989  38.31  33.30  3.00   17.52  12.67   12.47    17.94   0.53   0.10    18.58  271.89  -93.17
    5 1989  59.15  39.59 18.39   34.72  12.89   62.02    16.38   6.75  26.99    50.12  852.22  -94.12
    6 1989  84.22  51.05 33.29   57.58  22.90   14.31    17.39   2.35  14.09    33.83 1377.57  -97.54
    7 1989  70.75  38.54 33.81   79.98  38.76    0.00    17.22   1.04   9.58    27.84 1994.75  -98.60
    8 1989  17.80   7.28 10.26   52.84  31.21    3.92    13.01   0.00   1.71    14.72 2575.38  -99.43
    9 1989  51.43  44.79  5.28   18.52   9.34   17.75     9.26   0.00   0.18     9.45 3045.15  -99.69
   10 1989  17.68  17.72  1.00    9.71   6.38   15.17     7.05   0.00   0.13     7.18  299.68  -97.61
   11 1989  37.29  31.87  4.28    9.86   4.04   24.35     6.36   1.74   2.92    11.02  842.85  -98.69
   12 1989  93.49  83.00 10.31   15.22   4.47   34.67    11.99   9.59  34.99    56.57 1442.22  -96.08
    1 1990  11.91   6.65  6.84   22.96  14.83    0.00    15.50   0.26   1.13    16.88 2022.85  -99.17
    2 1990  37.00  30.69  6.54   16.15   8.87    9.80    11.10   0.39   6.25    17.73 2326.15  -99.24
    3 1990  37.48  33.70  2.39   11.71   8.23   18.23    11.59   1.54   1.21    14.33 3127.92  -99.54
    4 1990  60.51  56.54  2.31   15.79  11.85   10.21     9.83   1.16   0.18    11.16  271.89  -95.90
    5 1990  61.29  48.85 12.26   25.83  10.28   37.18    11.11   4.90   0.49    16.50  852.22  -98.06
    6 1990  94.95  64.77 31.73   53.80  18.33   78.16    19.54  19.55  46.12    85.21 1377.57  -93.81
    7 1990  45.45  23.44 19.51   82.79  51.67    0.00    18.88   0.22   5.84    24.94 1994.75  -98.75
    8 1990  42.47  22.66 19.50   45.53  17.81    6.35    13.91   0.00   2.05    15.96 2575.38  -99.38
    9 1990  19.49  16.07  4.05   19.42   9.84    5.95     9.90   0.00   0.05     9.96 3045.15  -99.67
