ZEIT;AA  _TEM;AA  _ETP;AA  _IZP;AA  _TRA;AA  _EVA;AA  _ETA;AA  _SCH;AA  _NIE;AA  _NEF;AA  _QOB;AA  _QBA;AA  _QIN;AA  _1AB;AA  _BOF;AE  _TEM;AE  _ETP;AE  _IZP;AE  _TRA;AE  _EVA;AE  _ETA;AE  _SCH;AE  _NIE;AE  _NEF;AE  _QOB;AE  _QBA;AE  _QIN;AE  _1AB;AE  _BOF;AB  _TEM;AB  _ETP;AB  _IZP;AB  _TRA;AB  _EVA;AB  _ETA;AB  _SCH;AB  _NIE;AB  _NEF;AB  _QOB;AB  _QBA;AB  _QIN;AB  _1AB;AB  _BOF;AC  _TEM;AC  _ETP;AC  _IZP;AC  _TRA;AC  _EVA;AC  _ETA;AC  _SCH;AC  _NIE;AC  _NEF;AC  _QOB;AC  _QBA;AC  _QIN;AC  _1AB;AC  _BOF;AD  _TEM;AD  _ETP;AD  _IZP;AD  _TRA;AD  _EVA;AD  _ETA;AD  _SCH;AD  _NIE;AD  _NEF;AD  _QOB;AD  _QBA;AD  _QIN;AD  _1AB;AD  _BOF;S0  _1ZU;S0  _1AB;S0  _WSP;S0  _  v;S1  _1ZU;S1  _1AB;S1  _WSP;S1  _  v;S2  _1ZU;S2  _1AB;S2  _WSP;S2  _  v;S3  _1ZU;S3  _1AB;S3  _WSP;S3  _  v
11.01.1959 00:00;-5.387;0.215;0;0;0;0.215;228.071;3.002;0;0;0.084;0;0.084;0;-5.387;0.215;0;0;0;0.215;225.704;2.823;0;0;0.066;0;0.066;0;-5.387;0.215;0;0;0;0.215;233.202;2.875;0;0;0.054;0;0.054;0;-5.387;0.215;0;0;0;0.215;230.089;2.818;0;0;0.102;0;0.102;0;-5.387;0.215;0;0;0;0.215;198.039;2.163;0;0;0.112;0;0.112;0;0.112;0.113;0;            NaN;0.27;0.32;0;            NaN;0.387;0.749;0;            NaN;0.834;1.726;0;            NaN
12.01.1959 00:00;-3.656;0.188;0;0;0;0.188;274.48;5.105;0;0;0.084;0;0.084;0;-3.656;0.188;0;0;0;0.188;275.335;5.459;0;0;0.066;0;0.066;0;-3.656;0.188;0;0;0;0.188;286.043;5.812;0;0;0.054;0;0.054;0;-3.656;0.188;0;0;0;0.188;282.526;5.768;0;0;0.102;0;0.102;0;-3.656;0.188;0;0;0;0.188;248.136;5.511;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.27;0;            NaN;0.336;0.387;0;            NaN;0.471;0.834;0;            NaN
13.01.1959 00:00;-2.225;0.172;0;0;0;0.172;309.935;3.9;0;0;0.084;0;0.084;0;-2.225;0.172;0;0;0;0.172;313.892;4.241;0;0;0.066;0;0.066;0;-2.225;0.172;0;0;0;0.172;327.52;4.562;0;0;0.054;0;0.054;0;-2.225;0.172;0;0;0;0.172;323.708;4.53;0;0;0.102;0;0.102;0;-2.225;0.172;0;0;0;0.172;286.488;4.219;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.336;0;            NaN;0.421;0.471;0;            NaN
14.01.1959 00:00;-3.062;0.15;0;0;0;0.15;317.037;0.781;0;0;0.084;0;0.084;0;-3.062;0.15;0;0;0;0.15;321.732;0.863;0;0;0.066;0;0.066;0;-3.062;0.15;0;0;0;0.15;336.043;0.938;0;0;0.054;0;0.054;0;-3.062;0.15;0;0;0;0.15;332.174;0.931;0;0;0.102;0;0.102;0;-3.062;0.15;0;0;0;0.15;294.266;0.856;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.421;0;            NaN
15.01.1959 00:00;-4.669;0.112;0;0;0;0.112;317.037;0;0;0;0.084;0;0.084;0;-4.669;0.112;0;0;0;0.112;321.732;0;0;0;0.066;0;0.066;0;-4.669;0.112;0;0;0;0.112;336.043;0;0;0;0.054;0;0.054;0;-4.669;0.112;0;0;0;0.112;332.174;0;0;0;0.102;0;0.102;0;-4.669;0.112;0;0;0;0.112;294.942;0.074;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
16.01.1959 00:00;-4.444;0.158;0;0;0;0.158;318.162;0.124;0;0;0.084;0;0.084;0;-4.444;0.158;0;0;0;0.158;323.17;0.158;0;0;0.066;0;0.066;0;-4.444;0.158;0;0;0;0.158;337.918;0.206;0;0;0.054;0;0.054;0;-4.444;0.158;0;0;0;0.158;333.987;0.199;0;0;0.102;0;0.102;0;-4.444;0.158;0;0;0;0.158;295.573;0.069;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
17.01.1959 00:00;-3.619;0.151;0;0;0;0.151;318.673;0.056;0;0;0.084;0;0.084;0;-3.619;0.151;0;0;0;0.151;323.823;0.072;0;0;0.066;0;0.066;0;-3.619;0.151;0;0;0;0.151;338.77;0.094;0;0;0.054;0;0.054;0;-3.619;0.151;0;0;0;0.151;334.811;0.091;0;0;0.102;0;0.102;0;-3.619;0.151;0;0;0;0.151;295.744;0.019;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
18.01.1959 00:00;-2.369;0.132;0;0;0;0.132;321.861;0.351;0;0;0.084;0;0.084;0;-2.369;0.132;0;0;0;0.132;329.261;0.598;0;0;0.066;0;0.066;0;-2.369;0.132;0;0;0;0.132;345.02;0.688;0;0;0.054;0;0.054;0;-2.369;0.132;0;0;0;0.132;341.311;0.715;0;0;0.102;0;0.102;0;-2.369;0.132;0;0;0;0.132;308.119;1.361;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
19.01.1959 00:00;1.194;0.153;0;0;0;0.153;232.522;0.159;0;0;0.084;0;0.084;0;1.194;0.153;0;0;0;0.153;237.544;0.272;0;0;0.066;0;0.066;0;1.194;0.153;0;0;0;0.153;250.555;0.312;0;0;0.054;0;0.054;0;1.194;0.153;0;0;0;0.153;247.252;0.325;0;0;0.102;0;0.102;0;1.194;0.153;0;0;0;0.153;219.909;0.646;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
20.01.1959 00:00;3.975;0.158;0;0;0;0.158;94.583;3.809;1.44;0.122;0.084;0;0.206;0;3.975;0.158;0;0;0;0.158;98.898;7.494;2.4;0.161;0.066;0;0.227;0;3.975;0.158;0;0;0;0.158;108.081;11;3.109;0.154;0.054;0;0.208;0;3.975;0.158;0;0;0;0.158;105.912;10.642;3.085;0.271;0.102;0;0.373;0;3.975;0.158;0;0;0;0.158;84.891;5.086;2.086;0.209;0.112;0;0.321;0;0.321;0.112;0;            NaN;0.693;0.268;0;            NaN;0.496;0.335;0;            NaN;0.541;0.419;0;            NaN
21.01.1959 00:00;3.912;0.15;0;0;0;0.15;39.717;3.072;6.255;0.569;0.084;0;0.653;0;3.912;0.15;0;0;0;0.15;43.717;5.043;6.779;0.505;0.066;0;0.572;0;3.912;0.15;0;0;0;0.15;52.631;6.856;7.259;0.426;0.054;0;0.48;0;3.912;0.15;0;0;0;0.15;50.481;6.687;7.215;0.768;0.102;0;0.87;0;3.912;0.15;0;0;0;0.15;29.599;3.839;6.489;0.745;0.112;0;0.858;0;0.858;0.321;0;            NaN;1.671;0.693;0;            NaN;1.265;0.496;0;            NaN;1.149;0.541;0;            NaN
22.01.1959 00:00;5.319;0.141;0;0;0;0.141;0;8.151;6.009;0.684;0.084;0;0.769;0;5.319;0.141;0;0;0;0.141;0;7.358;6.211;0.565;0.066;0;0.631;0;5.319;0.141;0;0;0;0.141;0;6.275;6.832;0.502;0.054;0;0.556;0;5.319;0.141;0;0;0;0.141;0;6.471;6.666;0.923;0.102;0;1.026;0;5.319;0.141;0;0;0;0.141;0;8.129;4.992;0.808;0.112;0;0.92;0;0.92;0.858;0;            NaN;2.439;1.671;0;            NaN;2.303;1.265;0;            NaN;2.033;1.149;0;            NaN
23.01.1959 00:00;4.588;0.124;0;0;0;0.124;0;11.211;2.803;0.42;0.084;0;0.505;0;4.588;0.124;0;0;0;0.124;0;9.902;2.475;0.312;0.066;0;0.379;0;4.588;0.124;0;0;0;0.124;0;9;2.25;0.279;0.054;0;0.333;0;4.588;0.124;0;0;0;0.124;0;9.008;2.252;0.544;0.102;0;0.646;0;4.588;0.124;0;0;0;0.124;0;8.644;2.161;0.487;0.112;0;0.599;0;0.599;0.92;0;            NaN;1.899;2.439;0;            NaN;2.818;2.303;0;            NaN;2.807;2.033;0;            NaN
24.01.1959 00:00;0.531;0.119;0;0;0;0.119;0;4.122;1.03;0.182;0.084;0;0.266;0;0.531;0.119;0;0;0;0.119;0;4.214;1.053;0.137;0.066;0;0.203;0;0.531;0.119;0;0;0;0.119;0;4.344;1.086;0.123;0.054;0;0.177;0;0.531;0.119;0;0;0;0.119;0;4.32;1.08;0.245;0.102;0;0.347;0;0.531;0.119;0;0;0;0.119;0;3.982;0.995;0.233;0.112;0;0.345;0;0.345;0.599;0;            NaN;1.123;1.899;0;            NaN;2.102;2.818;0;            NaN;3.084;2.807;0;            NaN
25.01.1959 00:00;-1.206;0.123;0;0;0;0.123;7.477;0.822;0;0.037;0.084;0;0.121;0;-1.206;0.123;0;0;0;0.123;10.148;1.116;0;0.028;0.066;0;0.094;0;-1.206;0.123;0;0;0;0.123;11.932;1.312;0;0.03;0.054;0;0.085;0;-1.206;0.123;0;0;0;0.123;11.989;1.319;0;0.066;0.102;0;0.168;0;-1.206;0.123;0;0;0;0.123;12.312;1.354;0;0.061;0.112;0;0.173;0;0.173;0.345;0;            NaN;0.597;1.123;0;            NaN;1.217;2.102;0;            NaN;2.223;3.084;0;            NaN
26.01.1959 00:00;-2.056;0.11;0;0;0;0.11;10.341;0.315;0;0.003;0.084;0;0.088;0;-2.056;0.11;0;0;0;0.11;12.983;0.312;0;0.002;0.066;0;0.069;0;-2.056;0.11;0;0;0;0.11;14.773;0.312;0;0.003;0.054;0;0.058;0;-2.056;0.11;0;0;0;0.11;14.83;0.312;0;0.009;0.102;0;0.111;0;-2.056;0.11;0;0;0;0.11;15.489;0.349;0;0.007;0.112;0;0.119;0;0.119;0.173;0;            NaN;0.341;0.597;0;            NaN;0.666;1.217;0;            NaN;1.305;2.223;0;            NaN
27.01.1959 00:00;-0.75;0.12;0;0;0;0.12;10.597;0.028;0;0;0.084;0;0.084;0;-0.75;0.12;0;0;0;0.12;13.097;0.012;0;0;0.066;0;0.066;0;-0.75;0.12;0;0;0;0.12;14.773;0;0;0;0.054;0;0.054;0;-0.75;0.12;0;0;0;0.12;14.83;0;0;0;0.102;0;0.103;0;-0.75;0.12;0;0;0;0.12;16.307;0.09;0;0;0.112;0;0.112;0;0.112;0.119;0;            NaN;0.276;0.341;0;            NaN;0.408;0.666;0;            NaN;0.751;1.305;0;            NaN
28.01.1959 00:00;0.962;0.131;0;0;0;0.131;0;0;0.291;0.025;0.084;0;0.109;0;0.962;0.131;0;0;0;0.131;0;0;0.36;0.024;0.066;0;0.091;0;0.962;0.131;0;0;0;0.131;0;0;0.406;0.02;0.054;0;0.074;0;0.962;0.131;0;0;0;0.131;0;0;0.408;0.036;0.102;0;0.138;0;0.962;0.131;0;0;0;0.131;0;0.028;0.455;0.046;0.112;0;0.158;0;0.158;0.112;0;            NaN;0.325;0.276;0;            NaN;0.367;0.408;0;            NaN;0.517;0.751;0;            NaN
29.01.1959 00:00;2.156;0.182;0;0;0;0.182;0;0;0;0.008;0.084;0;0.092;0;2.156;0.182;0;0;0;0.182;0;0;0;0.008;0.066;0;0.074;0;2.156;0.182;0;0;0;0.182;0;0;0;0.009;0.054;0;0.063;0;2.156;0.182;0;0;0;0.182;0;0;0;0.018;0.102;0;0.12;0;2.156;0.182;0;0;0;0.182;0;0;0;0.021;0.112;0;0.133;0;0.133;0.158;0;            NaN;0.341;0.325;0;            NaN;0.399;0.367;0;            NaN;0.459;0.517;0;            NaN
30.01.1959 00:00;1.263;0.195;0;0;0;0.195;0;0;0;0.001;0.084;0;0.085;0;1.263;0.195;0;0;0;0.195;0;0;0;0.001;0.066;0;0.067;0;1.263;0.195;0;0;0;0.195;0;0;0;0.001;0.054;0;0.055;0;1.263;0.195;0;0;0;0.195;0;0;0;0.003;0.102;0;0.105;0;1.263;0.195;0;0;0;0.195;0;0;0;0.003;0.112;0;0.115;0;0.115;0.133;0;            NaN;0.293;0.341;0;            NaN;0.408;0.399;0;            NaN;0.484;0.459;0;            NaN
31.01.1959 00:00;-1.019;0.14;0;0;0;0.14;0;0;0;0;0.084;0;0.084;0;-1.019;0.14;0;0;0;0.14;0;0;0;0;0.066;0;0.066;0;-1.019;0.14;0;0;0;0.14;0;0;0;0;0.054;0;0.054;0;-1.019;0.14;0;0;0;0.14;0;0;0;0;0.102;0;0.102;0;-1.019;0.14;0;0;0;0.14;0.562;0.062;0;0;0.112;0;0.112;0;0.112;0.115;0;            NaN;0.272;0.293;0;            NaN;0.36;0.408;0;            NaN;0.492;0.484;0;            NaN
01.02.1959 00:00;-3.106;0.143;0;0;0;0.143;0;0;0;0;0.084;0;0.084;0;-3.106;0.143;0;0;0;0.143;0;0;0;0;0.066;0;0.066;0;-3.106;0.143;0;0;0;0.143;0;0;0;0;0.054;0;0.054;0;-3.106;0.143;0;0;0;0.143;0;0;0;0;0.102;0;0.102;0;-3.106;0.143;0;0;0;0.143;0.818;0.028;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.269;0.272;0;            NaN;0.338;0.36;0;            NaN;0.444;0.492;0;            NaN
02.02.1959 00:00;-4.181;0.146;0;0;0;0.146;0;0;0;0;0.084;0;0.084;0;-4.181;0.146;0;0;0;0.146;0;0;0;0;0.066;0;0.066;0;-4.181;0.146;0;0;0;0.146;0;0;0;0;0.054;0;0.054;0;-4.181;0.146;0;0;0;0.146;0;0;0;0;0.102;0;0.102;0;-4.181;0.146;0;0;0;0.146;0.818;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.269;0;            NaN;0.335;0.338;0;            NaN;0.423;0.444;0;            NaN
03.02.1959 00:00;-3.919;0.141;0;0;0;0.141;0;0;0;0;0.084;0;0.084;0;-3.919;0.141;0;0;0;0.141;0;0;0;0;0.066;0;0.066;0;-3.919;0.141;0;0;0;0.141;0;0;0;0;0.054;0;0.054;0;-3.919;0.141;0;0;0;0.141;0;0;0;0;0.102;0;0.102;0;-3.919;0.141;0;0;0;0.141;0.818;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.423;0;            NaN
04.02.1959 00:00;-2.531;0.142;0;0;0;0.142;0;0;0;0;0.084;0;0.084;0;-2.531;0.142;0;0;0;0.142;0;0;0;0;0.066;0;0.066;0;-2.531;0.142;0;0;0;0.142;0;0;0;0;0.054;0;0.054;0;-2.531;0.142;0;0;0;0.142;0;0;0;0;0.102;0;0.102;0;-2.531;0.142;0;0;0;0.142;0.818;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
05.02.1959 00:00;-1.312;0.142;0;0;0;0.142;0;0;0;0;0.084;0;0.084;0;-1.312;0.142;0;0;0;0.142;0;0;0;0;0.066;0;0.066;0;-1.312;0.142;0;0;0;0.142;0;0;0;0;0.054;0;0.054;0;-1.312;0.142;0;0;0;0.142;0;0;0;0;0.102;0;0.102;0;-1.312;0.142;0;0;0;0.142;0.818;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
06.02.1959 00:00;-1.413;0.18;0;0;0;0.18;0;0;0;0;0.084;0;0.084;0;-1.413;0.18;0;0;0;0.18;0;0;0;0;0.066;0;0.066;0;-1.413;0.18;0;0;0;0.18;0;0;0;0;0.054;0;0.054;0;-1.413;0.18;0;0;0;0.18;0;0;0;0;0.102;0;0.102;0;-1.413;0.18;0;0;0;0.18;0.818;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
07.02.1959 00:00;-0.637;0.173;0;0;0;0.173;0;0;0;0;0.084;0;0.084;0;-0.637;0.173;0;0;0;0.173;0;0;0;0;0.066;0;0.066;0;-0.637;0.173;0;0;0;0.173;0;0;0;0;0.054;0;0.054;0;-0.637;0.173;0;0;0;0.173;0;0;0;0;0.102;0;0.102;0;-0.637;0.173;0;0;0;0.173;0.818;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
08.02.1959 00:00;2.275;0.138;0;0;0;0.138;0;0;0;0;0.084;0;0.084;0;2.275;0.138;0;0;0;0.138;0;0;0;0;0.066;0;0.066;0;2.275;0.138;0;0;0;0.138;0;0;0;0;0.054;0;0.054;0;2.275;0.138;0;0;0;0.138;0;0;0;0;0.102;0;0.102;0;2.275;0.138;0;0;0;0.138;0;0;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
09.02.1959 00:00;4.019;0.137;0;0;0;0.137;0;0;0;0;0.084;0;0.084;0;4.019;0.137;0;0;0;0.137;0;0;0;0;0.066;0;0.066;0;4.019;0.137;0;0;0;0.137;0;0;0;0;0.054;0;0.054;0;4.019;0.137;0;0;0;0.137;0;0;0;0;0.102;0;0.102;0;4.019;0.137;0;0;0;0.137;0;0.488;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
10.02.1959 00:00;4.094;0.126;0;0;0;0.126;0;0.254;0;0;0.084;0;0.084;0;4.094;0.126;0;0;0;0.126;0;0.172;0;0;0.066;0;0.066;0;4.094;0.126;0;0;0;0.126;0;0.137;0;0;0.054;0;0.054;0;4.094;0.126;0;0;0;0.126;0;0.131;0;0;0.102;0;0.102;0;4.094;0.126;0;0;0;0.126;0;0.311;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
11.02.1959 00:00;1.8;0.154;0;0;0;0.154;0;0.116;0;0;0.084;0;0.084;0;1.8;0.154;0;0;0;0.154;0;0.112;0;0;0.066;0;0.066;0;1.8;0.154;0;0;0;0.154;0;0.131;0;0;0.054;0;0.054;0;1.8;0.154;0;0;0;0.154;0;0.128;0;0;0.102;0;0.102;0;1.8;0.154;0;0;0;0.154;0;0.089;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
12.02.1959 00:00;-0.438;0.142;0;0;0;0.142;0;0;0;0;0.084;0;0.084;0;-0.438;0.142;0;0;0;0.142;0.142;0.016;0;0;0.066;0;0.066;0;-0.438;0.142;0;0;0;0.142;0.284;0.031;0;0;0.054;0;0.054;0;-0.438;0.142;0;0;0;0.142;0.284;0.031;0;0;0.102;0;0.102;0;-0.438;0.142;0;0;0;0.142;0.449;0.049;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
13.02.1959 00:00;0.65;0.171;0;0;0;0.171;0;0;0;0;0.084;0;0.084;0;0.65;0.171;0;0;0;0.171;0;0;0;0;0.066;0;0.066;0;0.65;0.171;0;0;0;0.171;0;0;0;0;0.054;0;0.054;0;0.65;0.171;0;0;0;0.171;0;0;0;0;0.102;0;0.102;0;0.65;0.171;0;0;0;0.171;0;0.012;0;0;0.112;0;0.112;0;0.112;0.112;0;            NaN;0.268;0.268;0;            NaN;0.335;0.335;0;            NaN;0.419;0.419;0;            NaN
